DateKey,Date,Month,Quarter,Year
20250813,13-08-2025,August,Q3,2025
20250131,31-01-2025,January,Q1,2025
20250810,10-08-2025,August,Q3,2025
20251219,19-12-2025,December,Q4,2025
20250501,01-05-2025,May,Q2,2025
20250803,03-08-2025,August,Q3,2025
20250522,22-05-2025,May,Q2,2025
20250705,05-07-2025,July,Q3,2025
20250512,12-05-2025,May,Q2,2025
20250524,24-05-2025,May,Q2,2025
20250725,25-07-2025,July,Q3,2025
20250720,20-07-2025,July,Q3,2025
20250220,20-02-2025,February,Q1,2025
20251205,05-12-2025,December,Q4,2025
20250316,16-03-2025,March,Q1,2025
20250513,13-05-2025,May,Q2,2025
20250821,21-08-2025,August,Q3,2025
20250402,02-04-2025,April,Q2,2025
20250921,21-09-2025,September,Q3,2025
20250610,10-06-2025,June,Q2,2025
20250708,08-07-2025,July,Q3,2025
20250625,25-06-2025,June,Q2,2025
20250823,23-08-2025,August,Q3,2025
20250707,07-07-2025,July,Q3,2025
20250110,10-01-2025,January,Q1,2025
20250715,15-07-2025,July,Q3,2025
20251226,26-12-2025,December,Q4,2025
20251106,06-11-2025,November,Q4,2025
20250205,05-02-2025,February,Q1,2025
20250121,21-01-2025,January,Q1,2025
20250914,14-09-2025,September,Q3,2025
20250313,13-03-2025,March,Q1,2025
20250520,20-05-2025,May,Q2,2025
20250620,20-06-2025,June,Q2,2025
20251027,27-10-2025,October,Q4,2025
20250608,08-06-2025,June,Q2,2025
20251223,23-12-2025,December,Q4,2025
20250529,29-05-2025,May,Q2,2025
20251203,03-12-2025,December,Q4,2025
20250130,30-01-2025,January,Q1,2025
20250917,17-09-2025,September,Q3,2025
20250215,15-02-2025,February,Q1,2025
20250924,24-09-2025,September,Q3,2025
20250808,08-08-2025,August,Q3,2025
20250719,19-07-2025,July,Q3,2025
20250820,20-08-2025,August,Q3,2025
20250410,10-04-2025,April,Q2,2025
20251029,29-10-2025,October,Q4,2025
20251118,18-11-2025,November,Q4,2025
20251123,23-11-2025,November,Q4,2025
20251015,15-10-2025,October,Q4,2025
20250226,26-02-2025,February,Q1,2025
20250405,05-04-2025,April,Q2,2025
20250710,10-07-2025,July,Q3,2025
20250404,04-04-2025,April,Q2,2025
20250619,19-06-2025,June,Q2,2025
20250721,21-07-2025,July,Q3,2025
20250109,09-01-2025,January,Q1,2025
20250728,28-07-2025,July,Q3,2025
20251201,01-12-2025,December,Q4,2025
20250301,01-03-2025,March,Q1,2025
20250503,03-05-2025,May,Q2,2025
20250617,17-06-2025,June,Q2,2025
20251228,28-12-2025,December,Q4,2025
20250126,26-01-2025,January,Q1,2025
20251212,12-12-2025,December,Q4,2025
20251110,10-11-2025,November,Q4,2025
20251008,08-10-2025,October,Q4,2025
20250211,11-02-2025,February,Q1,2025
20250429,29-04-2025,April,Q2,2025
20250826,26-08-2025,August,Q3,2025
20251026,26-10-2025,October,Q4,2025
20250403,03-04-2025,April,Q2,2025
20251220,20-12-2025,December,Q4,2025
20251128,28-11-2025,November,Q4,2025
20250827,27-08-2025,August,Q3,2025
20250802,02-08-2025,August,Q3,2025
20250408,08-04-2025,April,Q2,2025
20250217,17-02-2025,February,Q1,2025
20250905,05-09-2025,September,Q3,2025
20250607,07-06-2025,June,Q2,2025
20250729,29-07-2025,July,Q3,2025
20250327,27-03-2025,March,Q1,2025
20250309,09-03-2025,March,Q1,2025
20250208,08-02-2025,February,Q1,2025
20250114,14-01-2025,January,Q1,2025
20251104,04-11-2025,November,Q4,2025
20250629,29-06-2025,June,Q2,2025
20250525,25-05-2025,May,Q2,2025
20251028,28-10-2025,October,Q4,2025
20260104,04-01-2026,January,Q1,2026
20250903,03-09-2025,September,Q3,2025
20250310,10-03-2025,March,Q1,2025
20251213,13-12-2025,December,Q4,2025
20251215,15-12-2025,December,Q4,2025
20250318,18-03-2025,March,Q1,2025
20251011,11-10-2025,October,Q4,2025
20250118,18-01-2025,January,Q1,2025
20250703,03-07-2025,July,Q3,2025
20250323,23-03-2025,March,Q1,2025
20250611,11-06-2025,June,Q2,2025
20250713,13-07-2025,July,Q3,2025
20250630,30-06-2025,June,Q2,2025
20250413,13-04-2025,April,Q2,2025
20250829,29-08-2025,August,Q3,2025
20260101,01-01-2026,January,Q1,2026
20251018,18-10-2025,October,Q4,2025
20250731,31-07-2025,July,Q3,2025
20250420,20-04-2025,April,Q2,2025
20250801,01-08-2025,August,Q3,2025
20250811,11-08-2025,August,Q3,2025
20250302,02-03-2025,March,Q1,2025
20250919,19-09-2025,September,Q3,2025
20260102,02-01-2026,January,Q1,2026
20251020,20-10-2025,October,Q4,2025
20250221,21-02-2025,February,Q1,2025
20250926,26-09-2025,September,Q3,2025
20250328,28-03-2025,March,Q1,2025
20260103,03-01-2026,January,Q1,2026
20250411,11-04-2025,April,Q2,2025
20251021,21-10-2025,October,Q4,2025
20250312,12-03-2025,March,Q1,2025
20250406,06-04-2025,April,Q2,2025
20250426,26-04-2025,April,Q2,2025
20250317,17-03-2025,March,Q1,2025
20250806,06-08-2025,August,Q3,2025
20250307,07-03-2025,March,Q1,2025
20250604,04-06-2025,June,Q2,2025
20250616,16-06-2025,June,Q2,2025
20250601,01-06-2025,June,Q2,2025
20250117,17-01-2025,January,Q1,2025
20250622,22-06-2025,June,Q2,2025
20251009,09-10-2025,October,Q4,2025
20251120,20-11-2025,November,Q4,2025
20250225,25-02-2025,February,Q1,2025
20250526,26-05-2025,May,Q2,2025
20250726,26-07-2025,July,Q3,2025
20250527,27-05-2025,May,Q2,2025
20250104,04-01-2025,January,Q1,2025
20250516,16-05-2025,May,Q2,2025
20250628,28-06-2025,June,Q2,2025
20251204,04-12-2025,December,Q4,2025
20250216,16-02-2025,February,Q1,2025
20250506,06-05-2025,May,Q2,2025
20250804,04-08-2025,August,Q3,2025
20250505,05-05-2025,May,Q2,2025
20251227,27-12-2025,December,Q4,2025
20251003,03-10-2025,October,Q4,2025
20250210,10-02-2025,February,Q1,2025
20250822,22-08-2025,August,Q3,2025
20250723,23-07-2025,July,Q3,2025
20251022,22-10-2025,October,Q4,2025
20250523,23-05-2025,May,Q2,2025
20250129,29-01-2025,January,Q1,2025
20251101,01-11-2025,November,Q4,2025
20251111,11-11-2025,November,Q4,2025
20251225,25-12-2025,December,Q4,2025
20250709,09-07-2025,July,Q3,2025
20251210,10-12-2025,December,Q4,2025
20250111,11-01-2025,January,Q1,2025
20250911,11-09-2025,September,Q3,2025
20250314,14-03-2025,March,Q1,2025
20250423,23-04-2025,April,Q2,2025
20250223,23-02-2025,February,Q1,2025
20250920,20-09-2025,September,Q3,2025
20250831,31-08-2025,August,Q3,2025
20250927,27-09-2025,September,Q3,2025
20250902,02-09-2025,September,Q3,2025
20250311,11-03-2025,March,Q1,2025
20250418,18-04-2025,April,Q2,2025
20250814,14-08-2025,August,Q3,2025
20250509,09-05-2025,May,Q2,2025
20250805,05-08-2025,August,Q3,2025
20250326,26-03-2025,March,Q1,2025
20250212,12-02-2025,February,Q1,2025
20250909,09-09-2025,September,Q3,2025
20250819,19-08-2025,August,Q3,2025
20251030,30-10-2025,October,Q4,2025
20251016,16-10-2025,October,Q4,2025
20251025,25-10-2025,October,Q4,2025
20250320,20-03-2025,March,Q1,2025
20250507,07-05-2025,May,Q2,2025
20251122,22-11-2025,November,Q4,2025
20250825,25-08-2025,August,Q3,2025
20250906,06-09-2025,September,Q3,2025
20250518,18-05-2025,May,Q2,2025
20251222,22-12-2025,December,Q4,2025
20250621,21-06-2025,June,Q2,2025
20251221,21-12-2025,December,Q4,2025
20250219,19-02-2025,February,Q1,2025
20251014,14-10-2025,October,Q4,2025
20250124,24-01-2025,January,Q1,2025
20250724,24-07-2025,July,Q3,2025
20250923,23-09-2025,September,Q3,2025
20250818,18-08-2025,August,Q3,2025
20250613,13-06-2025,June,Q2,2025
